--------------------------------------------------------------------------------------------------------------
model               :blackberry4342
GPS                 :yes
frontcamera         :18
talktime            :25
company             :Nokia
price               :29548
thickness           :21
type                :smartphone
operatingsystem     :bada
rearcamera          :2
--------------------------------------------------------------------------------------------------------------
