('BlackBerry', 'hero1379'),{'model': 'hero1379', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '15275', 'thickness': '23', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '19'}
('BlackBerry', 'hero1840'),{'model': 'hero1840', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '20919', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '30'}
('BlackBerry', 'N442'),{'model': 'N442', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '33766', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '14'}
('BlackBerry', 'N1297'),{'model': 'N1297', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '35281', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '24'}
('BlackBerry', 'hero4407'),{'model': 'hero4407', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '30929', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '12'}
('BlackBerry', 'lumia3336'),{'model': 'lumia3336', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '17230', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '26'}
('BlackBerry', 'hero1541'),{'model': 'hero1541', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '19119', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '19'}
('BlackBerry', 'N580'),{'model': 'N580', 'GPS': 'yes', 'frontcamera': '6', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '10553', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '30'}
('BlackBerry', 'lumia4346'),{'model': 'lumia4346', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '14153', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '22'}
('BlackBerry', 'blackberry2156'),{'model': 'blackberry2156', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '34249', 'thickness': '27', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '18'}
('BlackBerry', 'blackberry3499'),{'model': 'blackberry3499', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '34719', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '25'}
('BlackBerry', 'hero1247'),{'model': 'hero1247', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '12123', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '26'}
('BlackBerry', 'lumia4455'),{'model': 'lumia4455', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '37101', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '18'}
('BlackBerry', 'hero3240'),{'model': 'hero3240', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '1030', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '10'}
('BlackBerry', 'lumia2632'),{'model': 'lumia2632', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '25408', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '8'}
('BlackBerry', 'lumia1258'),{'model': 'lumia1258', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '23788', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '10'}
('BlackBerry', 'hero1489'),{'model': 'hero1489', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '24039', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '20'}
('BlackBerry', 'blackberry2720'),{'model': 'blackberry2720', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '27751', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '7'}
('BlackBerry', 'blackberry2661'),{'model': 'blackberry2661', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '11522', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '6'}
('BlackBerry', 'blackberry1651'),{'model': 'blackberry1651', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '28687', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '23'}
('BlackBerry', 'blackberry761'),{'model': 'blackberry761', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '10332', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '18'}
('BlackBerry', 'hero1163'),{'model': 'hero1163', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '38524', 'thickness': '28', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '18'}
('BlackBerry', 'hero691'),{'model': 'hero691', 'GPS': 'no', 'frontcamera': '8', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '5318', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '20'}
('BlackBerry', 'hero2541'),{'model': 'hero2541', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '21337', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '13'}
('BlackBerry', 'blackberry2070'),{'model': 'blackberry2070', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '25999', 'thickness': '28', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '27'}
('BlackBerry', 'lumia3682'),{'model': 'lumia3682', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '22210', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '21'}
('BlackBerry', 'hero4010'),{'model': 'hero4010', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '21220', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '16'}
('BlackBerry', 'hero2423'),{'model': 'hero2423', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '16837', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '29'}
('BlackBerry', 'hero1072'),{'model': 'hero1072', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '30044', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '10'}
('BlackBerry', 'hero4017'),{'model': 'hero4017', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '11913', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '13'}
('BlackBerry', 'blackberry1049'),{'model': 'blackberry1049', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '32762', 'thickness': '26', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '13'}
('BlackBerry', 'hero2190'),{'model': 'hero2190', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '4122', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '8'}
('BlackBerry', 'N2358'),{'model': 'N2358', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '25303', 'thickness': '19', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '17'}
('BlackBerry', 'blackberry776'),{'model': 'blackberry776', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '37029', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '24'}
('BlackBerry', 'blackberry1042'),{'model': 'blackberry1042', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '2403', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '29'}
('BlackBerry', 'hero1621'),{'model': 'hero1621', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '34540', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '16'}
('BlackBerry', 'hero1776'),{'model': 'hero1776', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '37828', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '28'}
('BlackBerry', 'blackberry4561'),{'model': 'blackberry4561', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '23079', 'thickness': '30', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '11'}
('BlackBerry', 'hero1920'),{'model': 'hero1920', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '16252', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '13'}
('BlackBerry', 'blackberry1394'),{'model': 'blackberry1394', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '37995', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '6'}
('BlackBerry', 'blackberry4325'),{'model': 'blackberry4325', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '20083', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '27'}
('BlackBerry', 'blackberry2320'),{'model': 'blackberry2320', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '17174', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '13'}
('BlackBerry', 'N385'),{'model': 'N385', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '1', 'company': 'BlackBerry', 'price': '35726', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '27'}
('BlackBerry', 'lumia2648'),{'model': 'lumia2648', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '38165', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '15'}
('BlackBerry', 'hero2343'),{'model': 'hero2343', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '22534', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '10'}
('BlackBerry', 'hero1432'),{'model': 'hero1432', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '7923', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '21'}
('BlackBerry', 'hero2865'),{'model': 'hero2865', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '30007', 'thickness': '20', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '19'}
('BlackBerry', 'hero3832'),{'model': 'hero3832', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '3', 'company': 'BlackBerry', 'price': '34818', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '7'}
('BlackBerry', 'lumia2864'),{'model': 'lumia2864', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '8325', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '13'}
('BlackBerry', 'N2754'),{'model': 'N2754', 'GPS': 'yes', 'frontcamera': '18', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '29142', 'thickness': '30', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '24'}
('BlackBerry', 'N4008'),{'model': 'N4008', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '0', 'company': 'BlackBerry', 'price': '7314', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '30'}
('BlackBerry', 'lumia2244'),{'model': 'lumia2244', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '5', 'company': 'BlackBerry', 'price': '31211', 'thickness': '27', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '19'}
('BlackBerry', 'hero2106'),{'model': 'hero2106', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '19782', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '29'}
('BlackBerry', 'N3985'),{'model': 'N3985', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '4', 'company': 'BlackBerry', 'price': '6636', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '7'}
('BlackBerry', 'hero3674'),{'model': 'hero3674', 'GPS': 'no', 'frontcamera': '5', 'rearcamera': '2', 'company': 'BlackBerry', 'price': '28216', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '19'}
