('Lg', 'hero2806'),{'model': 'hero2806', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '0', 'company': 'Lg', 'price': '12471', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '11'}
('Lg', 'blackberry4051'),{'model': 'blackberry4051', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '4', 'company': 'Lg', 'price': '33488', 'thickness': '23', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '11'}
('Lg', 'lumia638'),{'model': 'lumia638', 'GPS': 'yes', 'frontcamera': '14', 'rearcamera': '3', 'company': 'Lg', 'price': '4119', 'thickness': '13', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '18'}
('Lg', 'N569'),{'model': 'N569', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '4', 'company': 'Lg', 'price': '20240', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '30'}
('Lg', 'lumia2915'),{'model': 'lumia2915', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '2', 'company': 'Lg', 'price': '16799', 'thickness': '24', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '28'}
('Lg', 'hero2893'),{'model': 'hero2893', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '5', 'company': 'Lg', 'price': '39890', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '27'}
('Lg', 'hero3617'),{'model': 'hero3617', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '3', 'company': 'Lg', 'price': '14039', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '21'}
('Lg', 'blackberry1605'),{'model': 'blackberry1605', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '5', 'company': 'Lg', 'price': '3693', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '6'}
('Lg', 'hero2976'),{'model': 'hero2976', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '1', 'company': 'Lg', 'price': '38197', 'thickness': '25', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '12'}
('Lg', 'lumia1518'),{'model': 'lumia1518', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '4', 'company': 'Lg', 'price': '13694', 'thickness': '18', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '5'}
('Lg', 'hero1310'),{'model': 'hero1310', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '3', 'company': 'Lg', 'price': '8808', 'thickness': '25', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '19'}
('Lg', 'N3070'),{'model': 'N3070', 'GPS': 'no', 'frontcamera': '6', 'rearcamera': '5', 'company': 'Lg', 'price': '20460', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '17'}
('Lg', 'hero796'),{'model': 'hero796', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '0', 'company': 'Lg', 'price': '5176', 'thickness': '11', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '22'}
('Lg', 'N308'),{'model': 'N308', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '1', 'company': 'Lg', 'price': '4157', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '18'}
('Lg', 'lumia4563'),{'model': 'lumia4563', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '5', 'company': 'Lg', 'price': '13223', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '18'}
('Lg', 'N627'),{'model': 'N627', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '3', 'company': 'Lg', 'price': '9235', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '20'}
('Lg', 'hero1601'),{'model': 'hero1601', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '1', 'company': 'Lg', 'price': '33468', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '22'}
('Lg', 'N1471'),{'model': 'N1471', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '2', 'company': 'Lg', 'price': '32748', 'thickness': '22', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '30'}
('Lg', 'hero2508'),{'model': 'hero2508', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '3', 'company': 'Lg', 'price': '15288', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '29'}
('Lg', 'hero4343'),{'model': 'hero4343', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '0', 'company': 'Lg', 'price': '35319', 'thickness': '12', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '17'}
('Lg', 'hero3196'),{'model': 'hero3196', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '3', 'company': 'Lg', 'price': '32220', 'thickness': '30', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '10'}
('Lg', 'N4443'),{'model': 'N4443', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '5', 'company': 'Lg', 'price': '38216', 'thickness': '17', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '21'}
('Lg', 'hero816'),{'model': 'hero816', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '3', 'company': 'Lg', 'price': '7844', 'thickness': '20', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '6'}
('Lg', 'lumia4303'),{'model': 'lumia4303', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '0', 'company': 'Lg', 'price': '12651', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '9'}
('Lg', 'hero468'),{'model': 'hero468', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '3', 'company': 'Lg', 'price': '13622', 'thickness': '26', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '28'}
('Lg', 'N4036'),{'model': 'N4036', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '5', 'company': 'Lg', 'price': '38383', 'thickness': '10', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '18'}
('Lg', 'blackberry3944'),{'model': 'blackberry3944', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '2', 'company': 'Lg', 'price': '27471', 'thickness': '21', 'type': 'basic', 'operatingsystem': 'blackberry', 'talktime': '25'}
('Lg', 'lumia198'),{'model': 'lumia198', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '1', 'company': 'Lg', 'price': '27076', 'thickness': '26', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '13'}
