('Nokia', 'lumia4004'),{'model': 'lumia4004', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '3', 'company': 'Nokia', 'price': '15299', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '22'}
('Nokia', 'blackberry2075'),{'model': 'blackberry2075', 'GPS': 'yes', 'frontcamera': '16', 'rearcamera': '4', 'company': 'Nokia', 'price': '9779', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '21'}
('Nokia', 'lumia3142'),{'model': 'lumia3142', 'GPS': 'no', 'frontcamera': '18', 'rearcamera': '5', 'company': 'Nokia', 'price': '36503', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '13'}
('Nokia', 'lumia2565'),{'model': 'lumia2565', 'GPS': 'yes', 'frontcamera': '3', 'rearcamera': '5', 'company': 'Nokia', 'price': '39907', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '9'}
('Nokia', 'hero3411'),{'model': 'hero3411', 'GPS': 'no', 'frontcamera': '9', 'rearcamera': '4', 'company': 'Nokia', 'price': '11740', 'thickness': '20', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '18'}
('Nokia', 'blackberry1417'),{'model': 'blackberry1417', 'GPS': 'yes', 'frontcamera': '19', 'rearcamera': '0', 'company': 'Nokia', 'price': '20702', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '22'}
('Nokia', 'N4169'),{'model': 'N4169', 'GPS': 'yes', 'frontcamera': '20', 'rearcamera': '5', 'company': 'Nokia', 'price': '20599', 'thickness': '29', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '16'}
('Nokia', 'hero3353'),{'model': 'hero3353', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '1', 'company': 'Nokia', 'price': '18904', 'thickness': '14', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '11'}
('Nokia', 'lumia834'),{'model': 'lumia834', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '3', 'company': 'Nokia', 'price': '21536', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '8'}
('Nokia', 'blackberry1765'),{'model': 'blackberry1765', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '3', 'company': 'Nokia', 'price': '16921', 'thickness': '18', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '25'}
('Nokia', 'lumia3465'),{'model': 'lumia3465', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '3', 'company': 'Nokia', 'price': '10222', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '23'}
