('Samsung', 'N2384'),{'model': 'N2384', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '5', 'company': 'Samsung', 'price': '26073', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '16'}
('Samsung', 'N903'),{'model': 'N903', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '5', 'company': 'Samsung', 'price': '1254', 'thickness': '22', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '8'}
('Samsung', 'N3700'),{'model': 'N3700', 'GPS': 'yes', 'frontcamera': '11', 'rearcamera': '4', 'company': 'Samsung', 'price': '34306', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '27'}
('Samsung', 'blackberry2645'),{'model': 'blackberry2645', 'GPS': 'no', 'frontcamera': '14', 'rearcamera': '1', 'company': 'Samsung', 'price': '16333', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '6'}
('Samsung', 'lumia932'),{'model': 'lumia932', 'GPS': 'yes', 'frontcamera': '5', 'rearcamera': '1', 'company': 'Samsung', 'price': '3596', 'thickness': '22', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '12'}
('Samsung', 'blackberry971'),{'model': 'blackberry971', 'GPS': 'no', 'frontcamera': '11', 'rearcamera': '2', 'company': 'Samsung', 'price': '11986', 'thickness': '29', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '26'}
('Samsung', 'hero2369'),{'model': 'hero2369', 'GPS': 'yes', 'frontcamera': '4', 'rearcamera': '0', 'company': 'Samsung', 'price': '23629', 'thickness': '15', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '26'}
('Samsung', 'hero313'),{'model': 'hero313', 'GPS': 'yes', 'frontcamera': '12', 'rearcamera': '0', 'company': 'Samsung', 'price': '37009', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'blackberry', 'talktime': '22'}
('Samsung', 'hero346'),{'model': 'hero346', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '4', 'company': 'Samsung', 'price': '10718', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '29'}
('Samsung', 'blackberry2823'),{'model': 'blackberry2823', 'GPS': 'no', 'frontcamera': '10', 'rearcamera': '0', 'company': 'Samsung', 'price': '24507', 'thickness': '14', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '23'}
('Samsung', 'N748'),{'model': 'N748', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '4', 'company': 'Samsung', 'price': '10998', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '23'}
('Samsung', 'blackberry1658'),{'model': 'blackberry1658', 'GPS': 'yes', 'frontcamera': '2', 'rearcamera': '4', 'company': 'Samsung', 'price': '4935', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '21'}
