('SonyEricsson', 'hero122'),{'model': 'hero122', 'GPS': 'no', 'frontcamera': '3', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '19036', 'thickness': '20', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '21'}
('SonyEricsson', 'lumia439'),{'model': 'lumia439', 'GPS': 'yes', 'frontcamera': '13', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '17793', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '17'}
('SonyEricsson', 'lumia333'),{'model': 'lumia333', 'GPS': 'yes', 'frontcamera': '10', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '14067', 'thickness': '23', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '24'}
('SonyEricsson', 'N1438'),{'model': 'N1438', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '23250', 'thickness': '13', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '6'}
('SonyEricsson', 'lumia3740'),{'model': 'lumia3740', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '37084', 'thickness': '22', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '11'}
('SonyEricsson', 'blackberry3711'),{'model': 'blackberry3711', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '16120', 'thickness': '30', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '23'}
('SonyEricsson', 'hero168'),{'model': 'hero168', 'GPS': 'no', 'frontcamera': '20', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '36367', 'thickness': '11', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '15'}
('SonyEricsson', 'hero929'),{'model': 'hero929', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '15977', 'thickness': '15', 'type': 'basic', 'operatingsystem': 'windows', 'talktime': '14'}
('SonyEricsson', 'lumia414'),{'model': 'lumia414', 'GPS': 'no', 'frontcamera': '12', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '32722', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 's40', 'talktime': '14'}
('SonyEricsson', 'hero162'),{'model': 'hero162', 'GPS': 'yes', 'frontcamera': '8', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '27574', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '9'}
('SonyEricsson', 'hero2244'),{'model': 'hero2244', 'GPS': 'no', 'frontcamera': '7', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '21708', 'thickness': '21', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '23'}
('SonyEricsson', 'hero1007'),{'model': 'hero1007', 'GPS': 'yes', 'frontcamera': '1', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '30713', 'thickness': '10', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '28'}
('SonyEricsson', 'hero4033'),{'model': 'hero4033', 'GPS': 'no', 'frontcamera': '19', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '10478', 'thickness': '22', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '26'}
('SonyEricsson', 'hero3938'),{'model': 'hero3938', 'GPS': 'yes', 'frontcamera': '7', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '9789', 'thickness': '17', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '10'}
('SonyEricsson', 'hero4031'),{'model': 'hero4031', 'GPS': 'no', 'frontcamera': '1', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '13476', 'thickness': '20', 'type': 'basic', 'operatingsystem': 's40', 'talktime': '18'}
('SonyEricsson', 'hero4159'),{'model': 'hero4159', 'GPS': 'yes', 'frontcamera': '9', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '18935', 'thickness': '19', 'type': 'basic', 'operatingsystem': 'bada', 'talktime': '9'}
('SonyEricsson', 'lumia4316'),{'model': 'lumia4316', 'GPS': 'no', 'frontcamera': '17', 'rearcamera': '5', 'company': 'SonyEricsson', 'price': '29781', 'thickness': '24', 'type': 'smartphone', 'operatingsystem': 'bada', 'talktime': '26'}
('SonyEricsson', 'hero3534'),{'model': 'hero3534', 'GPS': 'no', 'frontcamera': '4', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '22041', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '18'}
('SonyEricsson', 'blackberry249'),{'model': 'blackberry249', 'GPS': 'no', 'frontcamera': '16', 'rearcamera': '0', 'company': 'SonyEricsson', 'price': '19339', 'thickness': '21', 'type': 'smartphone', 'operatingsystem': 'windows', 'talktime': '9'}
('SonyEricsson', 'N1268'),{'model': 'N1268', 'GPS': 'no', 'frontcamera': '0', 'rearcamera': '1', 'company': 'SonyEricsson', 'price': '18596', 'thickness': '16', 'type': 'basic', 'operatingsystem': 'symbian', 'talktime': '15'}
('SonyEricsson', 'blackberry3628'),{'model': 'blackberry3628', 'GPS': 'no', 'frontcamera': '13', 'rearcamera': '3', 'company': 'SonyEricsson', 'price': '30693', 'thickness': '11', 'type': 'smartphone', 'operatingsystem': 'android', 'talktime': '28'}
('SonyEricsson', 'blackberry584'),{'model': 'blackberry584', 'GPS': 'yes', 'frontcamera': '0', 'rearcamera': '2', 'company': 'SonyEricsson', 'price': '30042', 'thickness': '16', 'type': 'smartphone', 'operatingsystem': 'symbian', 'talktime': '25'}
('SonyEricsson', 'N1512'),{'model': 'N1512', 'GPS': 'no', 'frontcamera': '2', 'rearcamera': '4', 'company': 'SonyEricsson', 'price': '16973', 'thickness': '12', 'type': 'basic', 'operatingsystem': 'android', 'talktime': '23'}
