Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Multitouch	Camera	Audio quality	Stand-by	GPU	Java	Type	CPU	SIM	USB	Status	Company	Chipset	Protection	Announced	Video	Sensors	GPS	Secondary	Card slot	EDGE	Talk time	4G Network	jack	Messaging	Display	Browser	Alert types	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	Internal	Radio	Music play	OS	Brand	Size	segment
d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d
																																																class
Yes	Class 32	Wi-Fi 802.11 b/g	111.5 x 60 x 11.8 mm, 76.3 cc (4.39 x 2.36 x 0.46 in)	70	GSM 850 / 1900 - RM-926<br>900 / 1800 - RM-925	No	No	No	No	1104	No	Yes, MIDP 2.1	TFT, 65K colors	No	Optional Dual SIM (Mini-SIM)	Yes, microUSB	Coming soon. Exp. release 2013, Q2	Nokia	No	No	2013, April	Yes, QCIF@10fps	No	No	No	microSD, up to 32 GB	Class 32	12	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 2.0/xHTML	Vibration, MP3 ringtones	97.3 g (3.42 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-210-1.jpg	2 MP, 1600x1200 pixels	No	Yes, v2.1 with EDR	Yellow, Black, White, Cyan, Magenta	64 MB, 32 MB RAM	Stereo FM radio with RDS; FM recording	Up to 40 h	No	Asha 210	320 x 240 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Yes	Class B	Wi-Fi 802.11 a/b/g/n, dual-band	127.9 x 67.5 x 9 mm, 78 cc (5.04 x 2.66 x 0.35 in)	280	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	No	No	Adreno 305	No	IPS LCD capacitive touchscreen, 16M colors	Dual-core 1 GHz	Micro-SIM	Yes, microUSB v2.0	Available. Released 2013, April	Nokia	Qualcomm MSM8227	Corning Gorilla Glass 2	2013, February	Yes	Accelerometer, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, 1.3 MP, 720p@30fps	microSD, up to 64 GB	Up to 236.8 kbps	23	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	HTML5	Vibration; MP3, WAV ringtones	128 g (4.52 oz)	HSDPA, 21.1 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-720.jpg	6.1 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v3.0 with A2DP	White, Red, Yellow, Cyan/Black	8 GB, 512 MB RAM	No	Up to 79 h	Microsoft Windows Phone 8	Lumia 720	480 x 800 pixels, 4.3 inches (~217 ppi pixel density)	mid_range
Yes	Class B	Wi-Fi 802.11 a/b/g/n, dual band	119.9 x 64 x 9.9 mm, 75.7 cc (4.72 x 2.52 x 0.39 in)	150	GSM 850 / 900 / 1800 / 1900 - all versions	No	Yes	Photo	No	No	Adreno 305	No	IPS LCD capacitive touchscreen, 16M colors	Dual-core 1 GHz	Micro-SIM	Yes, microUSB v2.0	Available. Released 2013, April	Nokia	Qualcomm MSM8227	Scratch-resistant glass	2013, February	Yes	Accelerometer, proximity	Yes, with A-GPS support and GLONASS	No	microSD, up to 64 GB	Up to 236.8 kbps	14	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	HTML5	Vibration; MP3, WAV ringtones	124 g (4.37 oz)	HSDPA, 21.1 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-520.jpg	5 MP	HSDPA 900 / 2100 - RM-914	Yes, v3.0 with A2DP	Yellow, red, cyan, white/black	8 GB, 512 MB RAM	No	Up to 61 h	Microsoft Windows Phone 8	Lumia 520	480 x 800 pixels, 4.0 inches (~233 ppi pixel density)	mid_range
Yes	Yes	No	114 x 50 x 12.5 mm, 104.2 cc (4.49 x 1.97 x 0.49 in)	70	GSM 850 / 900 / 1800 / 1900 - RM-840, RM-841	No	No	No	No	888	No	Yes, MIDP 2.1	TFT, 256K colors	No	Optional Dual SIM (Mini-SIM)	Yes	Available. Released 2013, April	Nokia	No	No	2013, February	Yes QVGA@30fps	No	No	No	microSD, up to 32 GB	Yes	20	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, MP3 ringtones	102 g (3.60 oz)	HSDPA, 7.2 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-301.jpg	3.15 MP, 2048x1536 pixels	HSDPA 900 / 2100 - RM-840, RM-839	Yes, v2.1 with A2DP, EDR	Cyan, Black, Yellow, Magenta, White	256 MB ROM, 64 MB RAM	Stereo FM radio	No	No	301	240 x 320 pixels, 2.4 inches (~167 ppi pixel density)	low_end
Yes	No	No	107 x 44.8 x 14.3 mm, 64 cc (4.21 x 1.76 x 0.56 in)	20	GSM 900 / 1800 	No	No	No	No	840	No	Yes	TFT, 65K colors	No	Mini-SIM	Yes (charging only)	Coming soon. Exp. release 2013, Q2	Nokia	No	No	2013, February	No	No	No	No	No	No	12	No	Yes	SMS	No	No	Vibration; Polyphonic	70 g (2.47 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-105.jpg	No	No	No	Black, Cyan	8 MB, 384 kB	FM radio	No	No	105	128 x 128 pixels, 1.45 inches (~125 ppi pixel density)	low_end
Yes	Up to 85.6 kbps	Wi-Fi 802.11 b/g	109.9 x 54 x 13 mm, 67 cc (4.33 x 2.13 x 0.51 in)	80	GSM 900 / 1800 - SIM 1 & SIM 2	No	Yes	No	No	600	No	Yes, MIDP 2.1	TFT capacitive touchscreen, 65K colors	No	Dual SIM (Mini-SIM)	Yes, microUSB v2.0	Available. Released 2013, March	Nokia	No	Scratch-resistant glass	2013, February	Yes, 176x144@10fps	Accelerometer	No	No	microSD, up to 32 GB, 2/4 GB included	Up to 236.8 kbps	17	No	Yes	SMS, MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration, Polyphonic, WAV, MP3 ringtones	103.7 g (3.63 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-asha-310.jpg	2 MP, 1600x1200 pixels	No	Yes, v3.0 with A2DP	Black, White, Golden Light	20 MB, 128 MB ROM, 64 MB RAM	Stereo FM radio with RDS, FM recording (in select markets)	Up to 54 h	No	Asha 310	240 x 400 pixels, 3.0 inches (~155 ppi pixel density)	low_end
Yes	Up to 85.6 kbps	Wi-Fi 802.11 b/g/n	118.1 x 61.2 x 11.3 mm, 76 cc (4.65 x 2.41 x 0.44 in)	140	GSM 850 / 900 / 1800 / 1900 	No	Yes	No	No	670	No	No	AMOLED capacitive touchscreen, 65K colors	800 MHz	Micro-SIM	Yes, microUSB v2.0	Available. Released 2013, January	Nokia	No	Corning Gorilla Glass	2012, December	Yes, VGA@30fps	Accelerometer, proximity	Yes, with A-GPS support	No	No	Up to 236.8 kbps	7	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	No	HTML5	Vibration; MP3, WAV ringtones	131 g (4.62 oz)	HSDPA, 7.2 Mbps; HSUPA	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-505.jpg	8 MP, 3264 x 2448 pixels	HSDPA 850 / 1900 	Yes, v2.1 with EDR	Black, White, Red, Pink	4 GB, 256 MB RAM	Stereo FM radio	Up to 36 h	Microsoft Windows Phone 7.8	Lumia 505	480 x 800 pixels, 3.7 inches (~252 ppi pixel density)	mid_range
Voice 71dB / Noise 66dB / Ring 78dB	Class B	Wi-Fi 802.11 a/b/g/n, dual-band	115.4 x 61.1 x 11 mm, 76 cc (4.54 x 2.41 x 0.43 in)	190	GSM 850 / 900 / 1800 / 1900 	Endurance rating 36h	Yes	Photo	Noise -79.8dB / Crosstalk -75.8dB	330	Adreno 305	No	TFT capacitive touchscreen, 16M colors	Dual-core 1 GHz Krait	Micro-SIM	Yes, microUSB v2.0	Available. Released 2013, January	Nokia	Qualcomm Snapdragon S4	No	2012, December	Yes	Accelerometer, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, VGA	microSD, up to 64 GB	Class B	14	No	Yes	SMS (threaded view), MMS, Email, Push Email, IM	Contrast ratio: 1068:1 (nominal) / 2.142:1 (sunlight)	HTML5	Vibration; MP3, WAV ringtones	127 g (4.48 oz)	HSDPA, 21 Mbps; HSUPA, 5.76 Mbps	http://cdn2.gsmarena.com/vv/thumb/nokia-lumia-620.jpg	5 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v3.0 with A2DP, EDR	Lime green, orange, magenta, yellow, cyan, white, black	8 GB storage, 512 MB RAM	No	Up to 61 h	Microsoft Windows Phone 8	Lumia 620	480 x 800 pixels, 3.8 inches (~246 ppi pixel density)	mid_range
Yes	Up to 59.2 kbps	No	110 x 46 x 14.8 mm, 63 cc (4.33 x 1.81 x 0.58 in)	30	GSM 900 / 1800 - SIM 1 & SIM 2	No	No	No	No	637	No	Yes	TFT, 65K colors	No	Dual SIM (Mini-SIM)	Yes, v2.0	Available. Released 2012, December	Nokia	No	No	2012, November	Yes, 176x144@15fps	No	No	No	microSD, up to 32 GB	Up to 236.8 kbps	10	No	Yes	SMS(threaded view), MMS, Email, IM	No	WAP 2.0/xHTML, HTML	Vibration; Polyphonic	80 g (2.82 oz)	No	http://cdn2.gsmarena.com/vv/thumb/nokia-114.jpg	VGA, 640x480 pixels	No	Yes, v2.1	Black, Magenta, Cyan	16 MB	Stereo FM radio with RDS, FM recording	Up to 27 h	No	114	128 x 160 pixels, 1.8 inches (~114 ppi pixel density)	low_end
