{'rearcamera': '3', 'price': '15299', 'talktime': '22', 'operatingsystem': 'windows', 'frontcamera': '20', 'model': 'lumia4004', 'thickness': '18', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '26073', 'talktime': '16', 'operatingsystem': 's40', 'frontcamera': '4', 'model': 'N2384', 'thickness': '15', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '9779', 'talktime': '21', 'operatingsystem': 'bada', 'frontcamera': '16', 'model': 'blackberry2075', 'thickness': '22', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '19036', 'talktime': '21', 'operatingsystem': 'bada', 'frontcamera': '3', 'model': 'hero122', 'thickness': '20', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '5', 'price': '1254', 'talktime': '8', 'operatingsystem': 's40', 'frontcamera': '20', 'model': 'N903', 'thickness': '22', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '2', 'price': '15275', 'talktime': '19', 'operatingsystem': 's40', 'frontcamera': '2', 'model': 'hero1379', 'thickness': '23', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '4', 'price': '34306', 'talktime': '27', 'operatingsystem': 'windows', 'frontcamera': '11', 'model': 'N3700', 'thickness': '19', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '17793', 'talktime': '17', 'operatingsystem': 'windows', 'frontcamera': '13', 'model': 'lumia439', 'thickness': '30', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '14067', 'talktime': '24', 'operatingsystem': 'android', 'frontcamera': '10', 'model': 'lumia333', 'thickness': '23', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '23250', 'talktime': '6', 'operatingsystem': 'symbian', 'frontcamera': '9', 'model': 'N1438', 'thickness': '13', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '16333', 'talktime': '6', 'operatingsystem': 'blackberry', 'frontcamera': '14', 'model': 'blackberry2645', 'thickness': '16', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '12471', 'talktime': '11', 'operatingsystem': 'blackberry', 'frontcamera': '16', 'model': 'hero2806', 'thickness': '17', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '20919', 'talktime': '30', 'operatingsystem': 'windows', 'frontcamera': '14', 'model': 'hero1840', 'thickness': '28', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '1', 'price': '3596', 'talktime': '12', 'operatingsystem': 's40', 'frontcamera': '5', 'model': 'lumia932', 'thickness': '22', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '36503', 'talktime': '13', 'operatingsystem': 'android', 'frontcamera': '18', 'model': 'lumia3142', 'thickness': '10', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '4', 'price': '33488', 'talktime': '11', 'operatingsystem': 'android', 'frontcamera': '13', 'model': 'blackberry4051', 'thickness': '23', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '37084', 'talktime': '11', 'operatingsystem': 's40', 'frontcamera': '0', 'model': 'lumia3740', 'thickness': '22', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '33766', 'talktime': '14', 'operatingsystem': 'windows', 'frontcamera': '7', 'model': 'N442', 'thickness': '14', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '4119', 'talktime': '18', 'operatingsystem': 's40', 'frontcamera': '14', 'model': 'lumia638', 'thickness': '13', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '16120', 'talktime': '23', 'operatingsystem': 'bada', 'frontcamera': '0', 'model': 'blackberry3711', 'thickness': '30', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '36367', 'talktime': '15', 'operatingsystem': 'android', 'frontcamera': '20', 'model': 'hero168', 'thickness': '11', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '11986', 'talktime': '26', 'operatingsystem': 'symbian', 'frontcamera': '11', 'model': 'blackberry971', 'thickness': '29', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '23629', 'talktime': '26', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'hero2369', 'thickness': '15', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '20240', 'talktime': '30', 'operatingsystem': 'bada', 'frontcamera': '20', 'model': 'N569', 'thickness': '11', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '35281', 'talktime': '24', 'operatingsystem': 'symbian', 'frontcamera': '13', 'model': 'N1297', 'thickness': '11', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '39907', 'talktime': '9', 'operatingsystem': 'android', 'frontcamera': '3', 'model': 'lumia2565', 'thickness': '11', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '11740', 'talktime': '18', 'operatingsystem': 's40', 'frontcamera': '9', 'model': 'hero3411', 'thickness': '20', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '0', 'price': '20702', 'talktime': '22', 'operatingsystem': 'bada', 'frontcamera': '19', 'model': 'blackberry1417', 'thickness': '16', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '37009', 'talktime': '22', 'operatingsystem': 'blackberry', 'frontcamera': '12', 'model': 'hero313', 'thickness': '22', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '15977', 'talktime': '14', 'operatingsystem': 'windows', 'frontcamera': '16', 'model': 'hero929', 'thickness': '15', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '10718', 'talktime': '29', 'operatingsystem': 'bada', 'frontcamera': '13', 'model': 'hero346', 'thickness': '12', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '0', 'price': '24507', 'talktime': '23', 'operatingsystem': 'symbian', 'frontcamera': '10', 'model': 'blackberry2823', 'thickness': '14', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '5', 'price': '20599', 'talktime': '16', 'operatingsystem': 'android', 'frontcamera': '20', 'model': 'N4169', 'thickness': '29', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '16799', 'talktime': '28', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'lumia2915', 'thickness': '24', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '4', 'price': '10998', 'talktime': '23', 'operatingsystem': 'symbian', 'frontcamera': '7', 'model': 'N748', 'thickness': '11', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '5', 'price': '39890', 'talktime': '27', 'operatingsystem': 'symbian', 'frontcamera': '1', 'model': 'hero2893', 'thickness': '20', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '32722', 'talktime': '14', 'operatingsystem': 's40', 'frontcamera': '12', 'model': 'lumia414', 'thickness': '17', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '0', 'price': '27574', 'talktime': '9', 'operatingsystem': 'symbian', 'frontcamera': '8', 'model': 'hero162', 'thickness': '21', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '21708', 'talktime': '23', 'operatingsystem': 's40', 'frontcamera': '7', 'model': 'hero2244', 'thickness': '21', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '30929', 'talktime': '12', 'operatingsystem': 'bada', 'frontcamera': '4', 'model': 'hero4407', 'thickness': '27', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '14039', 'talktime': '21', 'operatingsystem': 'symbian', 'frontcamera': '2', 'model': 'hero3617', 'thickness': '12', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '4935', 'talktime': '21', 'operatingsystem': 'windows', 'frontcamera': '2', 'model': 'blackberry1658', 'thickness': '24', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '17230', 'talktime': '26', 'operatingsystem': 'blackberry', 'frontcamera': '9', 'model': 'lumia3336', 'thickness': '27', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '3693', 'talktime': '6', 'operatingsystem': 's40', 'frontcamera': '17', 'model': 'blackberry1605', 'thickness': '18', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '1', 'price': '18904', 'talktime': '11', 'operatingsystem': 'windows', 'frontcamera': '10', 'model': 'hero3353', 'thickness': '14', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '38197', 'talktime': '12', 'operatingsystem': 's40', 'frontcamera': '8', 'model': 'hero2976', 'thickness': '25', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '19119', 'talktime': '19', 'operatingsystem': 'windows', 'frontcamera': '12', 'model': 'hero1541', 'thickness': '11', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '13694', 'talktime': '5', 'operatingsystem': 'symbian', 'frontcamera': '12', 'model': 'lumia1518', 'thickness': '18', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '3', 'price': '8808', 'talktime': '19', 'operatingsystem': 'blackberry', 'frontcamera': '11', 'model': 'hero1310', 'thickness': '25', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '5', 'price': '20460', 'talktime': '17', 'operatingsystem': 'symbian', 'frontcamera': '6', 'model': 'N3070', 'thickness': '23', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '4', 'price': '10553', 'talktime': '30', 'operatingsystem': 'android', 'frontcamera': '6', 'model': 'N580', 'thickness': '25', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '30713', 'talktime': '28', 'operatingsystem': 'symbian', 'frontcamera': '1', 'model': 'hero1007', 'thickness': '10', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '11512', 'talktime': '21', 'operatingsystem': 'blackberry', 'frontcamera': '2', 'model': 'lumia2548', 'thickness': '27', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '20430', 'talktime': '22', 'operatingsystem': 's40', 'frontcamera': '10', 'model': 'N3491', 'thickness': '10', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '4', 'price': '10478', 'talktime': '26', 'operatingsystem': 'windows', 'frontcamera': '19', 'model': 'hero4033', 'thickness': '22', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '9789', 'talktime': '10', 'operatingsystem': 'symbian', 'frontcamera': '7', 'model': 'hero3938', 'thickness': '17', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '4', 'price': '13476', 'talktime': '18', 'operatingsystem': 's40', 'frontcamera': '1', 'model': 'hero4031', 'thickness': '20', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '0', 'price': '5176', 'talktime': '22', 'operatingsystem': 's40', 'frontcamera': '20', 'model': 'hero796', 'thickness': '11', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '5', 'price': '6895', 'talktime': '20', 'operatingsystem': 'android', 'frontcamera': '4', 'model': 'hero2436', 'thickness': '11', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '21536', 'talktime': '8', 'operatingsystem': 'blackberry', 'frontcamera': '11', 'model': 'lumia834', 'thickness': '22', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '4157', 'talktime': '18', 'operatingsystem': 'android', 'frontcamera': '13', 'model': 'N308', 'thickness': '11', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '26060', 'talktime': '12', 'operatingsystem': 'blackberry', 'frontcamera': '3', 'model': 'blackberry456', 'thickness': '28', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '5', 'price': '18935', 'talktime': '9', 'operatingsystem': 'bada', 'frontcamera': '9', 'model': 'hero4159', 'thickness': '19', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '29781', 'talktime': '26', 'operatingsystem': 'bada', 'frontcamera': '17', 'model': 'lumia4316', 'thickness': '24', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '14153', 'talktime': '22', 'operatingsystem': 's40', 'frontcamera': '19', 'model': 'lumia4346', 'thickness': '19', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '0', 'price': '34249', 'talktime': '18', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'blackberry2156', 'thickness': '27', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '22041', 'talktime': '18', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'hero3534', 'thickness': '12', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '3', 'price': '16921', 'talktime': '25', 'operatingsystem': 'android', 'frontcamera': '19', 'model': 'blackberry1765', 'thickness': '18', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '3', 'price': '10222', 'talktime': '23', 'operatingsystem': 'bada', 'frontcamera': '20', 'model': 'lumia3465', 'thickness': '15', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '5', 'price': '13223', 'talktime': '18', 'operatingsystem': 'bada', 'frontcamera': '16', 'model': 'lumia4563', 'thickness': '15', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '3', 'price': '9235', 'talktime': '20', 'operatingsystem': 'symbian', 'frontcamera': '5', 'model': 'N627', 'thickness': '14', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '38492', 'talktime': '20', 'operatingsystem': 'windows', 'frontcamera': '7', 'model': 'hero2688', 'thickness': '22', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '33468', 'talktime': '22', 'operatingsystem': 'android', 'frontcamera': '16', 'model': 'hero1601', 'thickness': '18', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '0', 'price': '19339', 'talktime': '9', 'operatingsystem': 'windows', 'frontcamera': '16', 'model': 'blackberry249', 'thickness': '21', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '1', 'price': '34719', 'talktime': '25', 'operatingsystem': 'android', 'frontcamera': '18', 'model': 'blackberry3499', 'thickness': '16', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '5688', 'talktime': '28', 'operatingsystem': 'symbian', 'frontcamera': '19', 'model': 'N1382', 'thickness': '19', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '2', 'price': '18790', 'talktime': '30', 'operatingsystem': 'symbian', 'frontcamera': '13', 'model': 'hero3344', 'thickness': '12', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '32748', 'talktime': '30', 'operatingsystem': 'symbian', 'frontcamera': '3', 'model': 'N1471', 'thickness': '22', 'type': 'basic', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '19200', 'talktime': '29', 'operatingsystem': 'windows', 'frontcamera': '8', 'model': 'lumia929', 'thickness': '24', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '4', 'price': '26874', 'talktime': '5', 'operatingsystem': 'windows', 'frontcamera': '18', 'model': 'lumia4552', 'thickness': '11', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '18596', 'talktime': '15', 'operatingsystem': 'symbian', 'frontcamera': '0', 'model': 'N1268', 'thickness': '16', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '12123', 'talktime': '26', 'operatingsystem': 'windows', 'frontcamera': '0', 'model': 'hero1247', 'thickness': '19', 'type': 'basic', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '17292', 'talktime': '13', 'operatingsystem': 'symbian', 'frontcamera': '16', 'model': 'hero1582', 'thickness': '21', 'type': 'basic', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '37101', 'talktime': '18', 'operatingsystem': 'blackberry', 'frontcamera': '0', 'model': 'lumia4455', 'thickness': '17', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '32555', 'talktime': '28', 'operatingsystem': 's40', 'frontcamera': '10', 'model': 'N1363', 'thickness': '22', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '3', 'price': '15288', 'talktime': '29', 'operatingsystem': 's40', 'frontcamera': '19', 'model': 'hero2508', 'thickness': '23', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '30693', 'talktime': '28', 'operatingsystem': 'android', 'frontcamera': '13', 'model': 'blackberry3628', 'thickness': '11', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '4', 'price': '27802', 'talktime': '11', 'operatingsystem': 'windows', 'frontcamera': '16', 'model': 'N1938', 'thickness': '14', 'type': 'basic', 'company': 'Nokia', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '30042', 'talktime': '25', 'operatingsystem': 'symbian', 'frontcamera': '0', 'model': 'blackberry584', 'thickness': '16', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '2', 'price': '16452', 'talktime': '14', 'operatingsystem': 'bada', 'frontcamera': '2', 'model': 'blackberry917', 'thickness': '23', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '1', 'price': '2014', 'talktime': '28', 'operatingsystem': 'android', 'frontcamera': '17', 'model': 'lumia4546', 'thickness': '25', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '3', 'price': '23541', 'talktime': '21', 'operatingsystem': 'bada', 'frontcamera': '19', 'model': 'lumia3304', 'thickness': '18', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '5', 'price': '15282', 'talktime': '20', 'operatingsystem': 'blackberry', 'frontcamera': '16', 'model': 'hero2087', 'thickness': '30', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '1', 'price': '21176', 'talktime': '10', 'operatingsystem': 'blackberry', 'frontcamera': '2', 'model': 'hero4559', 'thickness': '24', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '4', 'price': '5245', 'talktime': '26', 'operatingsystem': 'symbian', 'frontcamera': '19', 'model': 'hero2550', 'thickness': '19', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '3', 'price': '27854', 'talktime': '14', 'operatingsystem': 'windows', 'frontcamera': '12', 'model': 'blackberry2432', 'thickness': '30', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '4', 'price': '16973', 'talktime': '23', 'operatingsystem': 'android', 'frontcamera': '2', 'model': 'N1512', 'thickness': '12', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '0', 'price': '35319', 'talktime': '17', 'operatingsystem': 'android', 'frontcamera': '1', 'model': 'hero4343', 'thickness': '12', 'type': 'smartphone', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '2', 'price': '3339', 'talktime': '9', 'operatingsystem': 'blackberry', 'frontcamera': '6', 'model': 'lumia3367', 'thickness': '25', 'type': 'smartphone', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '5', 'price': '39405', 'talktime': '23', 'operatingsystem': 'blackberry', 'frontcamera': '14', 'model': 'blackberry2245', 'thickness': '12', 'type': 'smartphone', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '1030', 'talktime': '10', 'operatingsystem': 'symbian', 'frontcamera': '12', 'model': 'hero3240', 'thickness': '27', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '0', 'price': '13163', 'talktime': '22', 'operatingsystem': 'windows', 'frontcamera': '5', 'model': 'blackberry2118', 'thickness': '23', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'no'}
{'rearcamera': '2', 'price': '11437', 'talktime': '12', 'operatingsystem': 'symbian', 'frontcamera': '9', 'model': 'blackberry773', 'thickness': '15', 'type': 'basic', 'company': 'Nokia', 'GPS': 'no'}
{'rearcamera': '1', 'price': '11877', 'talktime': '14', 'operatingsystem': 'bada', 'frontcamera': '11', 'model': 'blackberry1261', 'thickness': '27', 'type': 'basic', 'company': 'Samsung', 'GPS': 'no'}
{'rearcamera': '1', 'price': '27463', 'talktime': '5', 'operatingsystem': 'bada', 'frontcamera': '11', 'model': 'blackberry361', 'thickness': '12', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
{'rearcamera': '5', 'price': '29085', 'talktime': '29', 'operatingsystem': 'blackberry', 'frontcamera': '0', 'model': 'lumia3503', 'thickness': '14', 'type': 'smartphone', 'company': 'Samsung', 'GPS': 'yes'}
{'rearcamera': '0', 'price': '25408', 'talktime': '8', 'operatingsystem': 'symbian', 'frontcamera': '4', 'model': 'lumia2632', 'thickness': '19', 'type': 'smartphone', 'company': 'BlackBerry', 'GPS': 'no'}
{'rearcamera': '3', 'price': '32220', 'talktime': '10', 'operatingsystem': 's40', 'frontcamera': '18', 'model': 'hero3196', 'thickness': '30', 'type': 'basic', 'company': 'Lg', 'GPS': 'no'}
{'rearcamera': '3', 'price': '18824', 'talktime': '9', 'operatingsystem': 'bada', 'frontcamera': '0', 'model': 'N2812', 'thickness': '15', 'type': 'basic', 'company': 'SonyEricsson', 'GPS': 'yes'}
